identifier,file,collection,mediatype
gml-us1850s-04-fillm-ourol,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-04-fillm-ourol_images.zip,gaylordmusiclibrary,texts
gml-us1850s-05-floto-mappa,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-05-floto-mappa_images.zip,gaylordmusiclibrary,texts
gml-us1850s-06-floto-goodn,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-06-floto-goodn_images.zip,gaylordmusiclibrary,texts
gml-us1850s-07-floto-goodn,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-07-floto-goodn_images.zip,gaylordmusiclibrary,texts
gml-us1850s-08-floto-mappa,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-08-floto-mappa_images.zip,gaylordmusiclibrary,texts
gml-us1850s-09-floto-marth,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-09-floto-marth_images.zip,gaylordmusiclibrary,texts
gml-us1850s-10-fowle-dream,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-10-fowle-dream_images.zip,gaylordmusiclibrary,texts
gml-us1850s-11-fowle-firef,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-11-fowle-firef_images.zip,gaylordmusiclibrary,texts
gml-us1850s-12-fowle-howsl,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-12-fowle-howsl_images.zip,gaylordmusiclibrary,texts
gml-us1850s-13-fowle-softe,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-13-fowle-softe_images.zip,gaylordmusiclibrary,texts
gml-us1850s-14-fowle-syrac,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-14-fowle-syrac_images.zip,gaylordmusiclibrary,texts
gml-us1850s-15-fowle-watch,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-15-fowle-watch_images.zip,gaylordmusiclibrary,texts
gml-us1850s-16-frade-littl,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-16-frade-littl_images.zip,gaylordmusiclibrary,texts
gml-us1850s-17-franz-avema,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-17-franz-avema_images.zip,gaylordmusiclibrary,texts
gml-us1850s-18-frick-there,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-18-frick-there_images.zip,gaylordmusiclibrary,texts
gml-us1850s-19-fried-swiss,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-19-fried-swiss_images.zip,gaylordmusiclibrary,texts
gml-us1850s-20-gsp-littl,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-20-gsp-littl_images.zip,gaylordmusiclibrary,texts
gml-us1850s-21-garal-nymph,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-21-garal-nymph_images.zip,gaylordmusiclibrary,texts
gml-us1850s-22-gardn-seaso,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-22-gardn-seaso_images.zip,gaylordmusiclibrary,texts
gml-us1850s-23-gazza-trala,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-23-gazza-trala_images.zip,gaylordmusiclibrary,texts
gml-us1850s-24-gerke-Idbea,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-24-gerke-Idbea_images.zip,gaylordmusiclibrary,texts
gml-us1850s-25-getze-belis,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-25-getze-belis_images.zip,gaylordmusiclibrary,texts
gml-us1850s-26-getze-lucre,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-26-getze-lucre_images.zip,gaylordmusiclibrary,texts
gml-us1850s-27-getze-ernan,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-27-getze-ernan_images.zip,gaylordmusiclibrary,texts
gml-us1850s-28-getze-lucia,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-28-getze-lucia_images.zip,gaylordmusiclibrary,texts
gml-us1850s-29-gilmo-goodn,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-29-gilmo-goodn_images.zip,gaylordmusiclibrary,texts
gml-us1850s-30-gilmo-goodn,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-30-gilmo-goodn_images.zip,gaylordmusiclibrary,texts
gml-us1850s-31-glove-gentl,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-31-glove-gentl_images.zip,gaylordmusiclibrary,texts
gml-us1850s-32-glove-lovin,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-32-glove-lovin_images.zip,gaylordmusiclibrary,texts
gml-us1850s-33-glove-songs,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-33-glove-songs_images.zip,gaylordmusiclibrary,texts
gml-us1850s-34-glove-annie,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-34-glove-annie_images.zip,gaylordmusiclibrary,texts
gml-us1850s-35-glove-warri,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-35-glove-warri_images.zip,gaylordmusiclibrary,texts
gml-us1850s-36-glove-wepar,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-36-glove-wepar_images.zip,gaylordmusiclibrary,texts
gml-us1850s-37-glynn-bayea,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-37-glynn-bayea_images.zip,gaylordmusiclibrary,texts
gml-us1850s-38-gocke-dewdr,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-38-gocke-dewdr_images.zip,gaylordmusiclibrary,texts
gml-us1850s-39-golac-mourn,/Volumes/img/gaylord_music_library/sheet-music-capture/#4_zip/gml-us1850s-39-golac-mourn_images.zip,gaylordmusiclibrary,texts
